Средний балл,Среднее кол-во У в месяц,Среднее кол-во Б в месяц,Среднее кол-во Н в месяц,Успешный
3.5901639344262297,7.0,9.5,3.291666666666667,0
3.489583333333333,7.0,9.5,3.291666666666667,0
3.890243902439024,7.0,9.5,3.291666666666667,0
3.3783783783783785,7.0,9.5,3.291666666666667,0
3.554054054054054,7.0,9.5,3.291666666666667,0
3.217391304347826,7.0,9.5,3.291666666666667,0
3.9737529294656952,7.0,9.5,3.291666666666667,0
4.24,11.333333333333334,0.1666666666666666,1.8333333333333333,1
4.108695652173913,11.333333333333334,0.1666666666666666,1.8333333333333333,1
4.095744680851064,11.333333333333334,0.1666666666666666,1.8333333333333333,1
4.0,11.333333333333334,0.1666666666666666,1.8333333333333333,1
3.371794871794872,11.333333333333334,0.1666666666666666,1.8333333333333333,1
3.619565217391304,11.333333333333334,0.1666666666666666,1.8333333333333333,1
3.678571428571429,11.333333333333334,0.1666666666666666,1.8333333333333333,1
3.857142857142857,11.333333333333334,0.1666666666666666,1.8333333333333333,1
3.9737529294656952,11.333333333333334,0.1666666666666666,1.8333333333333333,1
4.072727272727272,8.857142857142858,0.1428571428571428,0.2857142857142857,1
4.145833333333333,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.9107142857142856,8.857142857142858,0.1428571428571428,0.2857142857142857,1
4.035714285714286,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.65,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.702380952380953,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.797297297297298,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.65,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.9737529294656952,8.857142857142858,0.1428571428571428,0.2857142857142857,1
3.6219512195121952,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.736842105263158,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.436170212765957,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.690476190476191,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.317073170731707,17.142857142857142,3.4285714285714284,1.2857142857142858,0
3.3285714285714287,17.142857142857142,3.4285714285714284,1.2857142857142858,0
